                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     39,               0.075526,               0.053706,              0.0098743,               0.022247,                0.52378,                0.33766,                0.32007,                0.16835,                0.42667,                0.27179,                 0.2265,                0.09273,               0.081385,               0.060934,              0.0060273,               0.021226,               0.002476,               0.002476,               0.002476
                     40,                0.07546,                0.05371,              0.0098296,               0.022268,                0.52322,                0.33977,                0.32163,                0.16932,                0.42781,                0.27274,                0.22774,               0.093396,                0.08128,               0.060829,              0.0060229,               0.021139,               0.002278,               0.002278,               0.002278
                     41,               0.075109,               0.053488,               0.009795,               0.021965,                0.52354,                0.33995,                 0.3226,                0.17024,                0.42939,                0.27374,                0.22957,               0.094204,               0.081173,               0.060719,              0.0060185,               0.021051,                0.00208,                0.00208,                0.00208
                     42,               0.074851,               0.053206,              0.0097752,               0.021813,                 0.5254,                0.34124,                0.32439,                0.17126,                0.43284,                 0.2742,                0.23102,               0.095106,               0.081066,               0.060615,              0.0060142,               0.020967,               0.001882,               0.001882,               0.001882
                     43,               0.074632,               0.052827,              0.0097781,               0.021677,                0.52784,                0.34121,                0.32558,                0.17218,                0.43545,                0.27444,                0.23251,               0.095961,               0.080962,               0.060505,              0.0060101,                0.02088,               0.001684,               0.001684,               0.001684
                     44,               0.074303,                0.05272,              0.0097405,               0.021567,                0.53076,                0.34174,                 0.3271,                0.17312,                0.43595,                0.27534,                0.23418,               0.096724,               0.080852,                0.06039,              0.0060056,               0.020789,               0.001486,               0.001486,               0.001486
                     45,               0.074054,               0.052693,              0.0097195,               0.021399,                0.53184,                0.34249,                0.32817,                0.17399,                0.43829,                0.27693,                0.23607,               0.097587,               0.080743,               0.060267,              0.0060005,               0.020699,               0.001288,               0.001288,               0.001288
                     46,               0.073778,                0.05217,              0.0096167,               0.021144,                0.53436,                0.34348,                0.32973,                0.17499,                0.43896,                0.27836,                0.23767,               0.098427,               0.080634,               0.060154,               0.005996,                0.02061,                0.00109,                0.00109,                0.00109
                     47,               0.073537,               0.051915,               0.009619,               0.020933,                0.53463,                0.34504,                0.33114,                0.17606,                 0.4423,                0.27966,                0.23957,               0.099415,               0.080523,               0.060038,              0.0059903,               0.020519,               0.000892,               0.000892,               0.000892
                     48,               0.073253,               0.052094,              0.0096807,               0.020829,                 0.5357,                0.34679,                0.33283,                0.17701,                 0.4434,                0.28163,                0.24111,                0.10022,               0.080419,               0.059921,              0.0059852,               0.020432,               0.000694,               0.000694,               0.000694
                     49,               0.072752,               0.051613,              0.0095738,               0.020597,                0.53564,                  0.349,                 0.3344,                  0.178,                0.44421,                0.28344,                0.24278,                0.10098,               0.080322,               0.059811,                0.00598,               0.020348,               0.000496,               0.000496,               0.000496
                     50,                0.53595,                0.34903,                0.33446,                  0.178,                0.44453,                0.28346,                0.24277,                0.10093,               0.080322,               0.059811,              0.0059799,               0.020348
